State,County,MedianAQI
Alabama,Baldwin,38
Alabama,Clay,36
Alabama,Colbert,37
Alabama,DeKalb,38
Alabama,Elmore,36
Alabama,Etowah,38
Alabama,Houston,38
Alabama,Jefferson,53
Alabama,Lawrence,27
Alabama,Madison,39
Alabama,Mobile,41
Alabama,Montgomery,40
Alabama,Morgan,39
Alabama,Russell,40
Alabama,Shelby,40
Alabama,Sumter,34
Alabama,Talladega,37
Alabama,Tuscaloosa,36
Alaska,Aleutians East ,9
Alaska,Anchorage ,28
Alaska,Denali ,31
Alaska,Fairbanks North Star ,53
Alaska,Juneau ,24
Alaska,Kenai Peninsula ,9
Alaska,Matanuska-Susitna ,30
Alaska,Yukon-Koyukuk ,4
Arizona,Apache,14
Arizona,Cochise,47
Arizona,Coconino,44
Arizona,Gila,79
Arizona,La Paz,44
Arizona,Maricopa,67
Arizona,Mohave,18
Arizona,Navajo,44
Arizona,Pima,48
Arizona,Pinal,71
Arizona,Santa Cruz,34
Arizona,Yavapai,44
Arizona,Yuma,47
Arkansas,Arkansas,34
Arkansas,Ashley,33
Arkansas,Clark,33
Arkansas,Crittenden,37
Arkansas,Garland,35
Arkansas,Jackson,34
Arkansas,Newton,36
Arkansas,Polk,38
Arkansas,Pulaski,44
Arkansas,Union,4
Arkansas,Washington,39
California,Alameda,43
California,Alpine,23
California,Amador,42
California,Butte,52
California,Calaveras,44
California,Colusa,44
California,Contra Costa,45
California,Del Norte,12
California,El Dorado,45
California,Fresno,81
California,Glenn,41
California,Humboldt,43
California,Imperial,67
California,Inyo,47
California,Kern,97
California,Kings,71
California,Lake,37
California,Los Angeles,80
California,Madera,67
California,Marin,43
California,Mariposa,49
California,Mendocino,38
California,Merced,60
California,Mono,15
California,Monterey,37
California,Napa,46
California,Nevada,46
California,Orange,59
California,Placer,52
California,Plumas,41
California,Riverside,93
California,Sacramento,51
California,San Benito,42
California,San Bernardino,80
California,San Diego,61
California,San Francisco,34
California,San Joaquin,54
California,San Luis Obispo,55
California,San Mateo,34
California,Santa Barbara,47
California,Santa Clara,41
California,Santa Cruz,35
California,Shasta,43
California,Siskiyou,37
California,Solano,43
California,Sonoma,37
California,Stanislaus,58
California,Sutter,51
California,Tehama,44
California,Trinity,9
California,Tulare,84
California,Tuolumne,46
California,Ventura,53
California,Yolo,41
Colorado,Adams,47
Colorado,Alamosa,19
Colorado,Arapahoe,44
Colorado,Archuleta,17
Colorado,Boulder,44
Colorado,Chaffee,47
Colorado,Clear Creek,47
Colorado,Delta,21
Colorado,Denver,50
Colorado,Douglas,44
Colorado,El Paso,46
Colorado,Fremont,15
Colorado,Garfield,44
Colorado,Gunnison,44
Colorado,Jackson,40
Colorado,Jefferson,46
Colorado,La Plata,44
Colorado,Larimer,49
Colorado,Mesa,46
Colorado,Moffat,43
Colorado,Montezuma,44
Colorado,Park,47
Colorado,Pitkin,11
Colorado,Prowers,19
Colorado,Pueblo,23
Colorado,Rio Blanco,44
Colorado,Routt,15
Colorado,San Juan,8
Colorado,San Miguel,45
Colorado,Weld,45
Connecticut,Fairfield,48
Connecticut,Hartford,44
Connecticut,Litchfield,41
Connecticut,Middlesex,43
Connecticut,New Haven,44
Connecticut,New London,40
Connecticut,Tolland,41
Connecticut,Windham,34
Delaware,Kent,42
Delaware,New Castle,49
Delaware,Sussex,43
District Of Columbia,District of Columbia,47
Florida,Alachua,35
Florida,Baker,33
Florida,Bay,40
Florida,Brevard,39
Florida,Broward,38
Florida,Citrus,17
Florida,Collier,36
Florida,Columbia,34
Florida,Duval,43
Florida,Escambia,42
Florida,Flagler,35
Florida,Hamilton,32
Florida,Highlands,32
Florida,Hillsborough,45
Florida,Holmes,39
Florida,Indian River,37
Florida,Lake,33
Florida,Lee,38
Florida,Leon,43
Florida,Liberty,32
Florida,Manatee,36
Florida,Marion,39
Florida,Martin,37
