State,County,MedianAQI
Indiana,Knox,55
Indiana,Kosciusko,24
Indiana,LaPorte,65
Indiana,Lake,107
Indiana,Marion,104
Indiana,Porter,54
Indiana,Posey,28
Indiana,Spencer,74
Indiana,St. Joseph,46
Indiana,Sullivan,49
Indiana,Vanderburgh,40
Indiana,Vermillion,52
Indiana,Vigo,82
Indiana,Warrick,96
Indiana,Wayne,33
Iowa,Black Hawk,9
Iowa,Dubuque,39
Iowa,Johnson,14
Iowa,Linn,57
Iowa,Madison,38
Iowa,Muscatine,3
Iowa,Polk,68
Iowa,Scott,39
Iowa,Story,7
Iowa,Woodbury,47
Kansas,Johnson,38
Kansas,Sedgwick,39
Kansas,Wyandotte,40
Kentucky,Boone,56
Kentucky,Boyd,45
Kentucky,Boyle,19
Kentucky,Bullitt,29
Kentucky,Calloway,48
Kentucky,Campbell,62
Kentucky,Carroll,44
Kentucky,Clark,34
Kentucky,Daviess,48
Kentucky,Fayette,49
Kentucky,Hancock,52
Kentucky,Hardin,42
Kentucky,Henderson,50
Kentucky,Hopkins,44
Kentucky,Jefferson,121
Kentucky,Kenton,34
Kentucky,McCracken,116
Kentucky,Mercer,49
Kentucky,Muhlenberg,101
Kentucky,Ohio,93
Kentucky,Pulaski,39
Kentucky,Trigg,14
Kentucky,Trimble,43
Louisiana,Bossier,32
Louisiana,Calcasieu,30
Louisiana,East Baton Rouge,39
Louisiana,Grant,35
Louisiana,Iberville,37
Louisiana,Orleans,18
Louisiana,St. Charles,37
Louisiana,St. John the Baptist,7
Maine,Androscoggin,40
Maine,Aroostook,85
Maine,Cumberland,52
Maine,Franklin,14
Maine,Kennebec,37
Maine,Knox,11
Maine,Oxford,50
Maine,Penobscot,114
Maine,Washington,11
Maryland,Allegany,29
Maryland,Anne Arundel,64
Maryland,Baltimore,49
Maryland,Baltimore (City),75
Maryland,Cecil,105
Maryland,Frederick,35
Maryland,Harford,39
Maryland,Howard,27
Maryland,Montgomery,33
Maryland,Prince George's,49
Maryland,Washington,30
Massachusetts,Berkshire,41
Massachusetts,Bristol,49
Massachusetts,Essex,47
Massachusetts,Franklin,41
Massachusetts,Hampden,57
Massachusetts,Middlesex,55
Massachusetts,Norfolk,49
Massachusetts,Suffolk,74
Massachusetts,Worcester,49
Michigan,Alger,0
Michigan,Bay,34
Michigan,Branch,13
Michigan,Calhoun,0
Michigan,Cass,41
Michigan,Charlevoix,0
Michigan,Clinton,37
Michigan,Eaton,27
Michigan,Genesee,31
Michigan,Gratiot,27
Michigan,Huron,41
Michigan,Ingham,87
Michigan,Kent,39
Michigan,Macomb,37
Michigan,Marquette,36
Michigan,Mason,17
Michigan,Monroe,64
Michigan,Muskegon,45
Michigan,Oakland,39
Michigan,Ontonagon,27
Michigan,Ottawa,43
Michigan,Saginaw,41
Michigan,St. Clair,70
Michigan,Washtenaw,29
Michigan,Wayne,90
Minnesota,Anoka,35
Minnesota,Blue Earth,44
Minnesota,Dakota,59
Minnesota,Hennepin,61
Minnesota,Itasca,0
Minnesota,Lake,31
Minnesota,Olmsted,69
Minnesota,Ramsey,60
Minnesota,Saint Louis,44
Minnesota,Sherburne,42
Minnesota,Stearns,6
Minnesota,Washington,49
Minnesota,Wright,7
Mississippi,DeSoto,39
Mississippi,Harrison,6
Mississippi,Hinds,43
Mississippi,Jackson,11
Mississippi,Madison,36
Mississippi,Warren,6
Missouri,Clay,62
Missouri,Greene,39
Missouri,Iron,43
Missouri,Jackson,59
Missouri,Madison,49
Missouri,Platte,33
Missouri,Saint Charles,69
Missouri,Saint Louis,97
Missouri,St. Louis City,104
Montana,Cascade,33
Montana,Daniels,3
Montana,Deer Lodge,30
Montana,Jefferson,14
Montana,Lewis and Clark,50
Montana,Missoula,55
Montana,Rosebud,37
Montana,Silver Bow,36
Montana,Yellowstone,94
Nebraska,Custer,3
Nebraska,Dakota,26
Nebraska,Douglas,51
Nebraska,Lancaster,44
Nevada,Clark,84
Nevada,Washoe,57
New Hampshire,Cheshire,35
New Hampshire,Coos,118
New Hampshire,Hillsborough,68
New Hampshire,Rockingham,41
New Jersey,Atlantic,63
New Jersey,Bergen,57
New Jersey,Burlington,64
New Jersey,Camden,70
New Jersey,Cape May,43
New Jersey,Cumberland,50
New Jersey,Essex,65
New Jersey,Gloucester,89
New Jersey,Hudson,64
New Jersey,Hunterdon,50
New Jersey,Mercer,46
New Jersey,Middlesex,61
New Jersey,Monmouth,55
New Jersey,Morris,71
New Jersey,Ocean,41
New Jersey,Passaic,39
New Jersey,Salem,28
New Jersey,Somerset,44
New Jersey,Union,67
New Jersey,Warren,41
New Mexico,Bernalillo,54
New Mexico,Dona Ana,44
New Mexico,Grant,14
New Mexico,Hidalgo,29
New Mexico,San Juan,56
New Mexico,Santa Fe,24
New York,Albany,75
New York,Bronx,50
New York,Broome,44
New York,Chautauqua,66
New York,Chemung,36
New York,Dutchess,33
New York,Erie,114
New York,Essex,40
New York,Kings,76
New York,Monroe,106
New York,Nassau,56
New York,New York,102
New York,Niagara,93
New York,Oneida,37
New York,Onondaga,61
New York,Queens,59
New York,Rensselaer,49
New York,Richmond,58
New York,Schenectady,41
New York,St. Lawrence,17
New York,Suffolk,84
New York,Warren,41
New York,Wayne,22
New York,Westchester,49
North Carolina,Beaufort,14
North Carolina,Buncombe,45
North Carolina,Columbus,13
North Carolina,Durham,49
North Carolina,Forsyth,27
North Carolina,Granville,101
North Carolina,Guilford,46
North Carolina,Iredell,16
North Carolina,Jones,32
North Carolina,Mecklenburg,87
North Carolina,New Hanover,48
North Carolina,Wake,60
North Dakota,Billings,0
North Dakota,Dunn,29
North Dakota,McKenzie,3
North Dakota,Mercer,35
North Dakota,Oliver,33
Ohio,Allen,17
Ohio,Ashtabula,47
Ohio,Butler,49
Ohio,Clark,31
Ohio,Clermont,39
Ohio,Clinton,32
Ohio,Columbiana,81
Ohio,Coshocton,36
Ohio,Cuyahoga,64
Ohio,Franklin,65
Ohio,Hamilton,93
Ohio,Hocking,51
Ohio,Jefferson,100
Ohio,Lake,77
Ohio,Lawrence,24
Ohio,Lorain,40
Ohio,Lucas,76
Ohio,Mahoning,81
Ohio,Medina,27
Ohio,Meigs,9
Ohio,Monroe,47
Ohio,Montgomery,49
Ohio,Portage,32
Ohio,Preble,31
Ohio,Richland,17
Ohio,Scioto,19
Ohio,Stark,61
Ohio,Summit,109
Ohio,Trumbull,29
Ohio,Tuscarawas,43
Ohio,Warren,20
Oklahoma,Cleveland,34
Oklahoma,Garvin,0
Oklahoma,Oklahoma,44
Oklahoma,Stephens,10
Oklahoma,Tulsa,77
Oregon,Clackamas,26
Oregon,Columbia,26
Oregon,Crook,40
Oregon,Jackson,80
Oregon,Lane,39
Oregon,Marion,20
Oregon,Multnomah,74
Pennsylvania,Allegheny,121
Pennsylvania,Beaver,103
Pennsylvania,Berks,62
Pennsylvania,Blair,33
Pennsylvania,Bucks,57
Pennsylvania,Butler,54
Pennsylvania,Cambria,84
Pennsylvania,Dauphin,49
Pennsylvania,Delaware,71
Pennsylvania,Erie,57
Pennsylvania,Lackawanna,49
Pennsylvania,Lancaster,46
Pennsylvania,Lawrence,57
Pennsylvania,Lehigh,50
Pennsylvania,Luzerne,50
Pennsylvania,Lycoming,39
Pennsylvania,Montgomery,61
Pennsylvania,Northampton,61
Pennsylvania,Perry,37
Pennsylvania,Philadelphia,93
Pennsylvania,Washington,62
Pennsylvania,Westmoreland,44
Pennsylvania,York,60
Puerto Rico,Bayamon,16
Puerto Rico,Guayama,13
Puerto Rico,Guayanilla,110
Puerto Rico,Guaynabo,37
Puerto Rico,Toa Baja,20
Rhode Island,Kent,44
Rhode Island,Providence,71
South Carolina,Aiken,0
South Carolina,Beaufort,32
South Carolina,Berkeley,41
South Carolina,Charleston,21
South Carolina,Chester,47
South Carolina,Colleton,37
South Carolina,Darlington,64
South Carolina,Edgefield,54
South Carolina,Georgetown,0
South Carolina,Greenville,48
South Carolina,Horry,47
South Carolina,Lexington,58
South Carolina,Pickens,45
South Carolina,Richland,52
South Carolina,York,27
Tennessee,Anderson,49
Tennessee,Benton,69
Tennessee,Blount,47
Tennessee,Cocke,39
Tennessee,Davidson,56
Tennessee,Giles,43
Tennessee,Hamilton,43
Tennessee,Hawkins,116
Tennessee,Houston,43
Tennessee,Humphreys,130
Tennessee,Knox,52
Tennessee,Maury,71
Tennessee,Meigs,103
Tennessee,Monroe,14
Tennessee,Montgomery,43
Tennessee,Morgan,14
Tennessee,Polk,59
Tennessee,Rhea,29
Tennessee,Roane,56
Tennessee,Shelby,112
Tennessee,Stewart,69
Tennessee,Sullivan,115
Tennessee,Sumner,31
Tennessee,Wilson,56
Texas,Bexar,44
Texas,Brazoria,34
Texas,Cameron,28
Texas,Dallas,47
Texas,Ector,43
Texas,El Paso,81
Texas,Galveston,43
Texas,Gregg,42
Texas,Harris,94
Texas,Hutchinson,43
Texas,Jefferson,47
Texas,Nueces,40
Texas,Orange,44
Texas,Potter,38
Texas,Tarrant,57
Texas,Travis,38
Utah,Davis,56
Utah,Emery,19
Utah,Grand,0
Utah,Iron,14
Utah,Salt Lake,112
Utah,Tooele,0
Utah,Uintah,19
Utah,Utah,57
Utah,Weber,51
Vermont,Addison,36
Vermont,Bennington,20
Vermont,Chittenden,26
Vermont,Rutland,29
Vermont,Washington,24
Vermont,Windsor,23
Virginia,Alexandria City,43
Virginia,Arlington,52
Virginia,Bristol City,21
Virginia,Chesapeake City,56
Virginia,Chesterfield,80
Virginia,Fairfax,61
Virginia,Fairfax City,41
Virginia,Fredericksburg City,44
Virginia,Hampton City,56
Virginia,Hanover,20
Virginia,Henrico,41
Virginia,Hopewell City,56
Virginia,Newport News City,18
Virginia,Norfolk City,19
Virginia,Northampton,71
Virginia,Prince William,90
Virginia,Richmond City,49
Virginia,Salem City,33
Virginia,Smyth,39
Virginia,Virginia Beach City,47
Washington,Clallam,107
Washington,Clark,32
Washington,Cowlitz,14
Washington,King,79
Washington,Pierce,56
Washington,Snohomish,29
Washington,Spokane,80
Washington,Yakima,28
West Virginia,Brooke,111
West Virginia,Greenbrier,67
West Virginia,Hancock,59
West Virginia,Kanawha,52
West Virginia,Ohio,44
West Virginia,Wood,86
Wisconsin,Brown,128
Wisconsin,Buffalo,21
Wisconsin,Chippewa,35
Wisconsin,Columbia,48
Wisconsin,Dane,46
Wisconsin,Douglas,28
Wisconsin,Dunn,42
Wisconsin,Eau Claire,12
Wisconsin,Grant,38
Wisconsin,Kenosha,44
Wisconsin,La Crosse,33
Wisconsin,Marathon,75
Wisconsin,Milwaukee,92
Wisconsin,Oconto,23
Wisconsin,Oneida,24
Wisconsin,Outagamie,34
Wisconsin,Ozaukee,20
Wisconsin,Portage,13
Wisconsin,Price,64
Wisconsin,Racine,38
Wisconsin,Rock,39
Wisconsin,Sheboygan,44
Wisconsin,St. Croix,29
Wisconsin,Taylor,41
Wisconsin,Vernon,36
Wisconsin,Walworth,43
Wisconsin,Washington,38
Wisconsin,Waukesha,22
Wisconsin,Winnebago,31
Wisconsin,Wood,24
